id;categoria;español;aymara;quechua
1;comunicacion efectiva;Yo soy el doctor/la doctora...;Nayax qullirïtwa...;Ñuqaqa doctormi kani..
2;comunicacion efectiva;Yo hablo poquito Aymara;Nayax mä juk’it aymar parlastwa;Aymarata pisillatam rimani
3;comunicacion efectiva;Cuando te pregunte me vas a decir si ó me vas a decir no;Jiskt’äma ukhax, Jïsa sitätawa jan ukax Janiwa sitätawa;Jiskt’äma ukhax, Jïsa sitätawa jan ukax Janiwa sitätawa
4;comunicacion efectiva;¿Si?;¿Jïsa?;Arí?
5;comunicacion efectiva;¿No?;¿Janiti?;Mana?
6;comunicacion efectiva;¿Cómo te lla mas?;¿Sutimax kunasa?;Imataq sutiyki?
7;comunicacion efectiva;¿Cuántos años tienes?;Kawqha maranitasa?;Hayka watayuqtaq kanki?
8;comunicacion efectiva;¿Comprendiste todo?;¿Tukuy imatachu entienderqanki? tuku imatachu intindik´ani;¿Taqi kunsa amuyawaytati?
9;comunicacion efectiva;Sí entendí;arí entienderqanim Ari entendercanim;Jisa nayajj amuyasta
10;comunicacion efectiva;No entendí;Manam entienderqanichu hanihua intindinquichu;Nayajj janiw amuykayätti
11;comunicacion efectiva;¿Tiene alguna pregunta?;¿Ima tapukuyniykipas, tapukuyniykipas kanchu? ima tapucunikipas, tapukuynikipas;¿Kuna jisktʼanakas utji?
12;comunicacion efectiva;Si tengo una pregunta;Sichus tapukuyniy kanman chayqa sichus tapukuniy  kanma chayk´a;Nayax mä jiskt’äwinïtwa
13;comunicacion efectiva;No, ninguna pregunta;Mana mana tapukuykuna mana haniw tapukuykuna;Janiwa, janiw jiskt’asiñas utjkiti
15;comunicacion efectiva;¿Le repito algo?;¿Imatapas yapamanta rimasaac?;¿Kunsa mayamp lurañajajj wakisispati?
14;comunicacion efectiva;¿Cuando debo tomar?;"¿Hayka hampikunatataq upyanay?
Jaica jampicunatataj uyanai";¿Kunapachas umañajaxa?
16;comunicacion efectiva;¿Cómo debo tomar?;¿Imaynatataq hampita upyanay?;¿Kunjamsa apsuñaja?
17;comunicacion efectiva;¿Que tengo que tomar?;¿Ima hampikunatataq upyanay?;¿Kunsa nayajj apasiñaja?
18;comunicacion efectiva;¿Necesita algo más?;¿Imatapas necesitankichu? imatapas necesitankichu;¿Yaqhanak munasmati?
19;comunicacion efectiva;Gracias;Pay suma;"
riqsikuyki"
20;comunicacion efectiva;Hasta luego;Asllakama asllakama;Ukat jikisiñani
21;comunicacion efectiva;Que le vaya bien;Suyakuy tukuy imapas allinta purinanta;Taqi kunas sum sarañapataki suyt’añani
